total_pegs,total_empty,total_holes,num_legal_moves,peg_ratio,mobile_pegs,immobile_pegs,jumpable_pegs,mobility_ratio,num_clusters,largest_cluster,edge_pegs,interior_pegs,avg_adjacent_pegs,avg_adjacent_empty,max_adjacent_empty,center_of_mass_r,center_of_mass_c,spread,min_pegs_reachable,max_pegs_reachable,best_move_r1,best_move_c1,best_move_r2,best_move_c2,worst_move_r1,worst_move_c1,worst_move_r2,worst_move_c2,board_rows,board_cols,board_state
4,3,7,1,0.571429,1,3,1,0.25,1,4,4,0,1.5,0.75,2,1.75,1.25,0.343949,2,2,1,1,1,3,1,1,1,3,4,4,0000000000000000000000000000000001000000000000000000000000000000000000000000000002000000000000000200000000000000010000000000000001000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000
4,3,7,1,0.571429,1,3,1,0.25,2,3,4,0,1.0,1.0,2,1.5,1.25,0.522858,3,3,2,1,0,1,2,1,0,1,4,3,000000000000000001000000000000000200000000000000010000000000000002000000000000000000000000000000000000000000000002000000000000000100000000000000000000000000000002000000000000000000000000000000
4,3,7,1,0.571429,1,3,1,0.25,2,3,4,0,1.0,1.0,2,1.0,1.5,0.558057,3,3,0,2,0,0,0,2,0,0,4,3,010000000000000002000000000000000200000000000000000000000000000001000000000000000200000000000000000000000000000001000000000000000000000000000000000000000000000002000000000000000000000000000000
7,3,10,3,0.7,3,4,2,0.428571,2,4,6,1,1.714286,0.857143,2,1.0,2.571429,0.451295,4,6,1,4,1,2,0,3,2,3,3,5,000000000000000000000000000000000000000000000000020000000000000002000000000000000100000000000000020000000000000001000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000001000000000000000000000000000000
9,1,10,1,0.9,1,8,1,0.111111,1,9,8,1,2.0,0.222222,1,1.666667,2.0,0.544664,3,4,3,3,3,1,3,3,3,1,4,4,0000000000000000000000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000010000000000000002000000000000000200000000000000
9,1,10,1,0.9,1,8,1,0.111111,2,8,8,1,1.777778,0.333333,1,2.0,1.111111,0.576293,3,7,2,0,2,2,2,0,2,2,5,4,00000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000100000000000000020000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000
7,3,10,2,0.7,2,5,2,0.285714,1,7,6,1,1.714286,0.714286,1,1.857143,1.571429,0.445082,1,3,1,2,1,0,1,2,1,0,5,4,00000000000000000200000000000000000000000000000000000000000000000100000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000100000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000010000000000000000000000000000000000000000000000
7,3,10,1,0.7,1,6,1,0.142857,1,7,6,1,2.285714,0.142857,1,1.714286,0.428571,0.423318,4,4,2,0,2,2,2,0,2,2,4,4,0200000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000010000000000000001000000000000000200000000000000020000000000000000000000000000000100000000000000
9,2,11,2,0.818182,2,7,2,0.222222,1,9,9,0,1.777778,0.333333,1,2.444444,0.888889,0.578181,3,5,1,0,3,0,1,0,3,0,5,4,02000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000010000000000000001000000000000000000000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000
8,3,11,3,0.727273,3,5,3,0.375,2,7,7,1,2.0,0.625,1,1.0,2.0,0.588352,2,5,1,3,1,1,2,3,2,1,3,5,000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000010000000000000002000000000000000200000000000000000000000000000002000000000000000100000000000000020000000000000002000000000000000100000000000000
9,2,11,2,0.818182,2,7,2,0.222222,1,9,8,1,2.0,0.444444,1,1.888889,1.666667,0.484247,3,7,2,3,2,1,2,3,2,1,4,5,00000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000200000000000000010000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000
